| name                   | title                  | level | facing   | categories      | description                                                                                         | detail                                                                                                                                                                                                | remediation                                                                                | metadata                                                                                                                                                           | cache_key                                                                                                           |
| ---------------------- | ---------------------- | ----- | -------- | --------------- | --------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------- |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.accounts\` has a foreign key \`accounts_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"accounts","type":"table","schema":"public","fkey_name":"accounts_user_id_fkey","fkey_columns":[2]}                                                        | unindexed_foreign_keys_public_accounts_accounts_user_id_fkey                                                        |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.agent_interactions\` has a foreign key \`agent_interactions_conversation_id_fkey\` without a covering index. This can lead to suboptimal query performance.                            | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"agent_interactions","type":"table","schema":"public","fkey_name":"agent_interactions_conversation_id_fkey","fkey_columns":[4]}                            | unindexed_foreign_keys_public_agent_interactions_agent_interactions_conversation_id_fkey                            |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.agent_interactions\` has a foreign key \`agent_interactions_property_id_fkey\` without a covering index. This can lead to suboptimal query performance.                                | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"agent_interactions","type":"table","schema":"public","fkey_name":"agent_interactions_property_id_fkey","fkey_columns":[5]}                                | unindexed_foreign_keys_public_agent_interactions_agent_interactions_property_id_fkey                                |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.ai_property_valuations\` has a foreign key \`ai_property_valuations_property_id_fkey\` without a covering index. This can lead to suboptimal query performance.                        | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"ai_property_valuations","type":"table","schema":"public","fkey_name":"ai_property_valuations_property_id_fkey","fkey_columns":[2]}                        | unindexed_foreign_keys_public_ai_property_valuations_ai_property_valuations_property_id_fkey                        |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.aml_checks\` has a foreign key \`aml_checks_reviewed_by_fkey\` without a covering index. This can lead to suboptimal query performance.                                                | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"aml_checks","type":"table","schema":"public","fkey_name":"aml_checks_reviewed_by_fkey","fkey_columns":[12]}                                               | unindexed_foreign_keys_public_aml_checks_aml_checks_reviewed_by_fkey                                                |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.auction_listings\` has a foreign key \`auction_listings_auctioneer_id_fkey\` without a covering index. This can lead to suboptimal query performance.                                  | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"auction_listings","type":"table","schema":"public","fkey_name":"auction_listings_auctioneer_id_fkey","fkey_columns":[4]}                                  | unindexed_foreign_keys_public_auction_listings_auction_listings_auctioneer_id_fkey                                  |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.auction_listings\` has a foreign key \`auction_listings_high_bidder_id_fkey\` without a covering index. This can lead to suboptimal query performance.                                 | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"auction_listings","type":"table","schema":"public","fkey_name":"auction_listings_high_bidder_id_fkey","fkey_columns":[11]}                                | unindexed_foreign_keys_public_auction_listings_auction_listings_high_bidder_id_fkey                                 |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.auction_listings\` has a foreign key \`auction_listings_property_id_fkey\` without a covering index. This can lead to suboptimal query performance.                                    | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"auction_listings","type":"table","schema":"public","fkey_name":"auction_listings_property_id_fkey","fkey_columns":[2]}                                    | unindexed_foreign_keys_public_auction_listings_auction_listings_property_id_fkey                                    |
| unindexed_foreign_keys | Unindexed foreign keys | INFO  | EXTERNAL | ["PERFORMANCE"] | Identifies foreign key constraints without a covering index, which can impact database performance. | Table \`public.auction_listings\` has a foreign key \`auction_listings_tokenized_property_id_fkey\` without a covering index. This can lead to suboptimal query performance.                          | https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys | {"name":"auction_listings","type":"table","schema":"public","fkey_name":"auction_listings_tokenized_property_id_fkey","fkey_columns":[3]}                          | unindexed_foreign_keys_public_auction_listings_auction_listings_tokenized_property_id_fkey                          |
